# Cadastro do caso, extraido da BDGD. Contem dado identificavel quando a extracao inclui CEP/CNAE.
# Revise antes de publicar esta pasta. O numero da conta do cliente (DESCR) nunca entra aqui.
elemento,cod_id,familia,bus1,bus2,comp_m,fases,fas_con,tip_inst,tip_cnd,linecode,uni_tr_mt,p_n_ope,ligada_no_caso,pot_kvar,pot_kva,tip_unid,tip_regu,ten_reg,rel_tp,rel_tc,cor_nom,banc,mun
bt_9156873,9156873,cabo BT,BT_1691631,BT_5925759,30.2643,3,ABCN,RD_AER_URB,BT-148-148-148-148-4,CND_BT-148-148-148-148-4,7449833,,,,,,,,,,,,
bt_13610587,13610587,cabo BT,BT_5925759,BT_6531952,13.5143,3,ABCN,RD_AER_URB,BT-148-148-148-148-4,CND_BT-148-148-148-148-4,7449833,,,,,,,,,,,,
bt_9480568,9480568,cabo BT,BT_1691629,BT_2415596,46.7713,3,ABCN,RD_AER_URB,BT-61-61-61-61-4,CND_BT-61-61-61-61-4,7449833,,,,,,,,,,,,
bt_9156869,9156869,cabo BT,BT_1692314,BT_1691631,32.0230,3,ABCN,RD_AER_URB,BT-148-148-148-148-4,CND_BT-148-148-148-148-4,7449833,,,,,,,,,,,,
bt_9190639,9190639,cabo BT,BT_1678110,BT_1692314,16.7409,3,ABCN,RD_AER_URB,BT-148-148-148-148-4,CND_BT-148-148-148-148-4,7449833,,,,,,,,,,,,
rl_10058970,10058970,ramal de ligação,BT_1727695,BT_4149830,15.0000,2,ABN,RD_AER_URB,15527-2F,CND_15527-2F,7449457,,,,,,,,,,,,
rl_11264738,11264738,ramal de ligação,BT_1727695,BT_4186628,15.0000,1,CN,RD_AER_URB,34172-1F,CND_34172-1F,7449457,,,,,,,,,,,,
rl_11638132,11638132,ramal de ligação,BT_1685989,BT_4080588,14.7000,3,ABCN,RD_AER_URB,15541-3F,CND_15541-3F,7483569,,,,,,,,,,,,
rl_11051495,11051495,ramal de ligação,BT_1652212,BT_4003734,15.0000,3,ABCN,RD_AER_URB,15528-3F,CND_15528-3F,7449457,,,,,,,,,,,,
rl_11054074,11054074,ramal de ligação,BT_1655578,BT_4180137,14.7000,3,ABCN,RD_AER_URB,5387-3F,CND_5387-3F,7449834,,,,,,,,,,,,
rl_11075230,11075230,ramal de ligação,BT_1691629,BT_3414964,14.7000,3,ABCN,RD_AER_URB,5387-3F,CND_5387-3F,7449833,,,,,,,,,,,,
rl_11401437,11401437,ramal de ligação,BT_1652212,BT_3130508,14.7000,1,CN,RD_AER_URB,15505-1F,CND_15505-1F,7449457,,,,,,,,,,,,
rl_11644228,11644228,ramal de ligação,BT_2735313,BT_3079184,15.0000,3,ABCN,RD_AER_URB,15528-3F,CND_15528-3F,7449457,,,,,,,,,,,,
rl_11728732,11728732,ramal de ligação,BT_1652208,BT_4260271,14.7000,3,ABCN,RD_AER_URB,15541-3F,CND_15541-3F,7449457,,,,,,,,,,,,
rl_11075569,11075569,ramal de ligação,BT_5925759,BT_4298640,14.7000,3,ABCN,RD_AER_URB,5387-3F,CND_5387-3F,7449833,,,,,,,,,,,,
rl_11617974,11617974,ramal de ligação,BT_1652210,BT_3785627,14.7000,1,AN,RD_AER_URB,5366-1F,CND_5366-1F,7449457,,,,,,,,,,,,
rl_11771013,11771013,ramal de ligação,BT_1727695,BT_3613501,14.7000,1,AN,RD_AER_URB,15505-1F,CND_15505-1F,7449457,,,,,,,,,,,,
rl_12396460,12396460,ramal de ligação,BT_1691630,BT_5891182,15.0000,1,AN,RD_AER_URB,34172-1F,CND_34172-1F,7449833,,,,,,,,,,,,
rl_11526034,11526034,ramal de ligação,BT_1727691,BT_4312693,15.0000,1,BN,RD_AER_URB,34172-1F,CND_34172-1F,7449457,,,,,,,,,,,,
rl_11644232,11644232,ramal de ligação,BT_1727693,BT_4492917,15.0000,1,AN,RD_AER_URB,34172-1F,CND_34172-1F,7449457,,,,,,,,,,,,
rl_11762993,11762993,ramal de ligação,BT_1716981,BT_4496636,14.7000,1,AN,RD_AER_URB,5366-1F,CND_5366-1F,7449457,,,,,,,,,,,,
rl_11054078,11054078,ramal de ligação,BT_1655576,BT_3531842,15.0000,3,ABCN,RD_AER_URB,15528-3F,CND_15528-3F,7449833,,,,,,,,,,,,
rl_11482427,11482427,ramal de ligação,BT_1727690,BT_4193401,15.0000,2,ABN,RD_AER_URB,15527-2F,CND_15527-2F,7449457,,,,,,,,,,,,
rl_11482429,11482429,ramal de ligação,BT_1727693,BT_4429245,14.7000,1,BN,RD_AER_URB,5366-1F,CND_5366-1F,7449457,,,,,,,,,,,,
rl_13475299,13475299,ramal de ligação,BT_1685990,BT_6457009,15.0000,1,AN,RD_AER_URB,34172-1F,CND_34172-1F,7483569,,,,,,,,,,,,
rl_11091101,11091101,ramal de ligação,BT_1691629,BT_4063608,15.0000,3,ABCN,RD_AER_URB,15528-3F,CND_15528-3F,7449833,,,,,,,,,,,,
rl_11592124,11592124,ramal de ligação,BT_1727694,BT_4079154,14.7000,1,AN,RD_AER_URB,5366-1F,CND_5366-1F,7449457,,,,,,,,,,,,
rl_11644230,11644230,ramal de ligação,BT_1652209,BT_3550148,15.0000,1,AN,RD_AER_URB,34172-1F,CND_34172-1F,7449457,,,,,,,,,,,,
rl_11264746,11264746,ramal de ligação,BT_1716981,BT_3715205,15.0000,1,CN,RD_AER_URB,34172-1F,CND_34172-1F,7449457,,,,,,,,,,,,
rl_11091105,11091105,ramal de ligação,BT_2415596,BT_4240232,15.0000,3,ABCN,RD_AER_URB,15528-3F,CND_15528-3F,7449833,,,,,,,,,,,,
rl_11526036,11526036,ramal de ligação,BT_1727693,BT_3075467,15.0000,1,BN,RD_AER_URB,34172-1F,CND_34172-1F,7449457,,,,,,,,,,,,
rl_11264742,11264742,ramal de ligação,BT_1727693,BT_3185497,15.0000,1,CN,RD_AER_URB,34172-1F,CND_34172-1F,7449457,,,,,,,,,,,,
rl_11536604,11536604,ramal de ligação,BT_1727695,BT_4077466,14.7000,1,AN,RD_AER_URB,5366-1F,CND_5366-1F,7449457,,,,,,,,,,,,
rl_14191492,14191492,ramal de ligação,BT_1685989,BT_6777317,15.0000,1,AN,RD_AER_URB,34172-1F,CND_34172-1F,7483569,,,,,,,,,,,,
rl_11208263,11208263,ramal de ligação,BT_1694168,BT_4067238,14.7000,1,CN,RD_AER_URB,5366-1F,CND_5366-1F,7449457,,,,,,,,,,,,
rl_11592122,11592122,ramal de ligação,BT_1694168,BT_3018365,14.7000,1,AN,RD_AER_URB,5366-1F,CND_5366-1F,7449457,,,,,,,,,,,,
rl_11091267,11091267,ramal de ligação,BT_2735313,BT_4122617,15.0000,3,ABCN,RD_AER_URB,15528-3F,CND_15528-3F,7449457,,,,,,,,,,,,
rl_11637646,11637646,ramal de ligação,BT_1652212,BT_4021925,14.7000,1,AN,RD_AER_URB,15505-1F,CND_15505-1F,7449457,,,,,,,,,,,,
rl_12460219,12460219,ramal de ligação,BT_1694168,BT_5922426,14.7000,3,ABCN,RD_AER_URB,5368-3F,CND_5368-3F,7449457,,,,,,,,,,,,
rl_11090887,11090887,ramal de ligação,BT_6531952,BT_3238945,14.7000,3,ABCN,RD_AER_URB,15541-3F,CND_15541-3F,7449833,,,,,,,,,,,,
